Country,Region,Year,Life_expectancy,Schooling,Infant_deaths,Under_five_deaths,Adult_mortality,GDP_per_capita,Economy_status_Developed,Economy_status_Developing
Togo,Africa,2008,56.2,4.3,61.4,94.4,318.7475,456,0,1
Denmark,European Union,2009,78.6,12.7,3.6,4.2,85.8135,50457,1,0
"Gambia, The",Africa,2015,60.9,3.4,39.7,59.8,261.7065,661,0,1
Costa Rica,Central America and Caribbean,2014,79.4,8.6,7.9,9.3,87.237,11355,0,1
Belize,Central America and Caribbean,2010,72.1,10.5,16.2,18.9,181.584,4768,0,1
Sweden,European Union,2010,81.5,12.3,2.5,3.1,57.492,48370,1,0
Austria,European Union,2014,81.5,12.1,3.1,3.8,65.815,44245,1,0
Kyrgyz Republic,Asia,2012,70.0,10.7,23.2,26.1,183.8625,994,0,1
Grenada,Central America and Caribbean,2013,72.6,8.5,13.8,15.8,143.8315,8067,0,1
Brunei Darussalam,Asia,2010,74.7,8.8,7.9,9.7,91.9455,33437,0,1
Greece,European Union,2009,80.2,10.1,3.4,3.9,75.948,22839,1,0
Norway,Rest of Europe,2010,81.0,12.7,2.7,3.3,64.862,72427,1,0
Uruguay,South America,2006,76.0,8.0,11.7,13.5,116.762,10575,0,1
Croatia,European Union,2006,75.8,9.9,5.5,6.4,109.298,11960,1,0
Romania,European Union,2008,72.6,10.6,11.9,14.0,151.8615,8280,1,0
Central African Republic,Africa,2011,48.0,3.7,96.7,140.5,463.613,550,0,1
Algeria,Africa,2015,76.1,7.9,21.6,25.2,95.8155,4178,0,1
"Yemen, Rep.",Middle East,2011,65.8,2.8,45.3,58.5,231.9445,2311,0,1
Armenia,Rest of Europe,2009,73.1,11.1,17.2,19.2,139.3615,2884,0,1
Zimbabwe,Africa,2004,43.1,6.8,51.2,92.4,686.639,1212,0,1
St. Vincent and the Grenadines,Central America and Caribbean,2003,71.1,7.8,19.0,21.7,179.187,6075,0,1
Kenya,Africa,2007,57.5,6.0,43.7,68.0,345.5865,1287,0,1
"Micronesia, Fed. Sts.",Oceania,2003,65.1,5.5,29.0,35.2,180.9535,3035,0,1
Antigua and Barbuda,Central America and Caribbean,2004,74.8,9.1,11.0,13.5,148.5575,14400,0,1
Nepal,Asia,2007,66.3,3.0,41.9,53.4,191.5375,643,0,1
Lithuania,European Union,2005,71.3,11.8,7.3,9.0,222.069,9766,1,0
Vanuatu,Oceania,2003,68.0,6.5,23.5,28.1,168.7145,2519,0,1
Afghanistan,Asia,2000,55.8,2.2,90.5,129.2,310.8305,148,0,1
Kuwait,Middle East,2011,74.6,7.0,8.5,10.0,64.969,33167,0,1
Kenya,Africa,2011,61.9,6.2,38.5,55.5,260.375,1357,0,1
Germany,European Union,2004,78.7,12.9,4.0,4.9,86.3185,35034,1,0
Argentina,South America,2014,75.9,9.8,10.8,12.1,118.5375,13568,0,1
Panama,Central America and Caribbean,2008,76.4,9.2,18.0,21.1,124.016,9894,0,1
Oman,Middle East,2015,76.9,9.5,9.6,11.2,89.1875,18445,0,1
France,European Union,2014,82.7,11.4,3.1,4.1,74.8905,36379,1,0
Bosnia and Herzegovina,Rest of Europe,2011,76.2,7.2,6.0,6.9,101.667,4185,0,1
Mauritania,Africa,2002,60.9,3.1,68.6,111.5,227.5,1234,0,1
Somalia,Africa,2008,53.3,2.1,101.1,166.5,331.401,265,0,1
Azerbaijan,Asia,2011,71.2,10.7,30.5,34.9,134.006,5153,0,1
Maldives,Asia,2007,74.6,3.9,15.1,17.6,79.101,8535,0,1
Armenia,Rest of Europe,2012,73.8,11.3,14.7,16.4,129.837,3313,0,1
Ghana,Africa,2009,60.6,6.7,48.8,72.3,261.2595,1348,0,1
Somalia,Africa,2006,52.7,2.1,104.0,172.0,337.337,237,0,1
Switzerland,Rest of Europe,2014,83.2,13.4,3.8,4.3,49.998,84348,1,0
Argentina,South America,2005,74.5,9.1,14.8,16.5,131.475,11192,0,1
Guinea-Bissau,Africa,2010,54.6,2.6,72.6,114.5,287.62,586,0,1
Solomon Islands,Oceania,2000,67.4,4.6,25.6,30.7,228.169,1939,0,1
"Congo, Dem. Rep.",Africa,2000,50.0,3.3,106.5,159.3,344.252,351,0,1
Namibia,Africa,2010,56.7,6.2,36.8,49.1,412.4735,4147,0,1
Russian Federation,Rest of Europe,2004,65.5,11.4,12.0,14.9,317.967,6857,0,1
Japan,Asia,2003,81.8,11.0,2.9,4.0,70.306,31830,1,0
Mauritania,Africa,2004,61.2,3.3,67.8,109.7,223.7,1307,0,1
Eswatini,Africa,2007,43.3,5.3,59.3,103.8,579.801,3175,0,1
Nigeria,Africa,2011,51.3,5.5,83.0,133.1,372.383,2464,0,1
United Arab Emirates,Middle East,2002,74.8,8.6,9.1,10.6,92.432,56815,0,1
Burundi,Africa,2005,53.4,2.3,78.4,124.9,346.6695,296,0,1
Tajikistan,Asia,2006,66.8,10.5,44.1,51.9,155.062,662,0,1
Honduras,Central America and Caribbean,2000,70.7,4.3,30.3,37.0,171.706,1790,0,1
Colombia,South America,2008,75.0,7.3,16.7,19.5,151.1495,4992,0,1
"Gambia, The",Africa,2009,59.3,2.7,47.1,76.8,277.4475,733,0,1
Madagascar,Africa,2015,65.5,6.1,41.3,59.0,218.4575,467,0,1
Iceland,Rest of Europe,2003,81.0,9.8,2.8,3.5,58.787,43764,1,0
Morocco,Africa,2002,69.8,3.6,40.6,48.0,140.5375,1905,0,1
Pakistan,Asia,2011,65.6,4.8,68.6,85.0,166.204,1246,0,1
Bolivia,South America,2009,67.5,7.9,34.8,44.1,204.4305,2455,0,1
Cambodia,Asia,2006,63.9,3.6,49.3,59.7,214.084,760,0,1
Malaysia,Asia,2006,73.7,8.2,7.0,8.1,129.376,7531,0,1
Romania,European Union,2006,72.2,10.3,14.2,16.6,159.0955,6846,1,0
Dominican Republic,Central America and Caribbean,2008,71.6,7.2,29.1,35.5,173.0485,5410,0,1
Norway,Rest of Europe,2015,82.3,12.5,2.2,2.7,53.897,74356,1,0
Italy,European Union,2005,80.8,9.2,3.8,4.5,64.2915,33258,1,0
Vietnam,Asia,2015,75.1,8.0,17.4,21.8,124.547,2582,0,1
Albania,Rest of Europe,2007,75.6,9.2,15.3,17.1,82.6975,3045,0,1
Oman,Middle East,2013,76.4,8.9,9.7,11.3,92.6785,19654,0,1
Czechia,European Union,2001,75.2,10.9,4.3,5.2,121.6575,12735,1,0
Tonga,Oceania,2002,69.8,9.1,13.8,16.0,155.0705,3952,0,1
"Congo, Rep.",Africa,2001,52.5,5.6,70.7,111.1,420.18,2080,0,1
Slovenia,European Union,2010,79.4,12.1,2.6,3.2,86.192,20613,1,0
Gabon,Africa,2001,58.0,6.3,52.3,81.4,321.9725,7867,0,1
Zambia,Africa,2014,60.8,6.9,46.0,68.3,309.5495,1341,0,1
Eswatini,Africa,2015,55.4,6.5,45.2,57.2,434.821,3680,0,1
Togo,Africa,2000,53.5,4.0,75.7,119.9,331.9545,506,0,1
Dominican Republic,Central America and Caribbean,2014,73.0,7.8,28.8,35.0,163.0145,6547,0,1
"Egypt, Arab Rep.",Africa,2001,68.8,4.9,35.2,43.9,174.899,2652,0,1
Papua New Guinea,Oceania,2014,63.2,4.3,41.2,52.4,227.218,2565,0,1
Ireland,European Union,2000,76.5,10.8,6.0,7.1,94.6415,41623,1,0
Bhutan,Asia,2010,68.4,2.3,34.1,42.4,227.3425,2235,0,1
Comoros,Africa,2001,59.5,3.0,72.1,100.2,270.665,1188,0,1
Chile,South America,2014,79.5,10.1,6.9,8.1,90.433,13367,0,1
Syrian Arab Republic,Middle East,2006,74.4,6.2,16.5,19.3,115.127,1550,0,1
Cambodia,Asia,2009,66.0,3.7,40.2,47.5,198.62,855,0,1
Serbia,Rest of Europe,2004,72.7,10.0,8.4,9.7,145.094,4162,0,1
Belgium,European Union,2002,78.1,10.3,4.4,5.4,95.81,36393,1,0
Belize,Central America and Caribbean,2004,69.7,10.3,18.2,21.3,190.602,4830,0,1
Costa Rica,Central America and Caribbean,2000,77.5,8.0,11.1,13.1,98.9985,7678,0,1
Romania,European Union,2007,72.6,10.5,13.0,15.2,155.9065,7450,1,0
Cuba,Central America and Caribbean,2008,78.2,10.6,5.4,6.7,96.542,6501,0,1
Honduras,Central America and Caribbean,2014,74.3,6.2,17.1,20.0,147.875,2256,0,1
Trinidad and Tobago,Central America and Caribbean,2007,71.2,10.5,21.7,24.4,184.093,18076,0,1
Botswana,Africa,2004,51.2,8.1,42.1,72.7,528.2495,4860,0,1
St. Vincent and the Grenadines,Central America and Caribbean,2005,71.3,7.9,18.9,21.5,173.295,6465,0,1
Bolivia,South America,2003,64.2,7.1,47.8,63.3,227.5185,2083,0,1
Paraguay,South America,2002,71.0,6.5,26.8,32.3,166.295,3725,0,1
"Bahamas, The",Central America and Caribbean,2014,72.8,11.1,12.2,14.3,160.15,31689,0,1
Costa Rica,Central America and Caribbean,2004,78.0,7.9,9.9,11.5,96.3765,8395,0,1
Malta,European Union,2001,78.8,8.2,6.6,7.5,62.98,16860,1,0
Malawi,Africa,2000,45.1,3.0,100.5,174.6,570.551,294,0,1
Finland,European Union,2006,79.2,12.0,3.0,3.6,94.799,44074,1,0
Montenegro,Rest of Europe,2007,74.3,10.8,7.7,8.9,126.1335,5798,0,1
"Egypt, Arab Rep.",Africa,2004,69.3,5.4,30.6,37.5,171.3545,2759,0,1
United Arab Emirates,Middle East,2010,76.3,9.9,7.4,8.7,74.296,32535,0,1
Iceland,Rest of Europe,2006,81.2,10.2,2.5,3.1,64.745,50732,1,0
Malaysia,Asia,2013,75.1,10.1,6.8,8.0,124.668,9179,0,1
Antigua and Barbuda,Central America and Caribbean,2002,74.4,9.0,11.9,14.6,152.267,13171,0,1
Central African Republic,Africa,2002,44.1,3.0,108.5,165.8,551.1775,477,0,1
Timor-Leste,Oceania,2013,68.0,4.5,45.9,54.2,154.7555,1287,0,1
Serbia,Rest of Europe,2010,74.3,10.4,6.6,7.6,127.7695,5206,0,1
Hungary,European Union,2001,72.2,10.3,8.2,9.6,185.7405,9357,1,0
Malaysia,Asia,2005,73.6,7.6,7.0,8.2,129.6545,7275,0,1
Botswana,Africa,2015,67.3,9.2,39.6,49.7,248.595,6403,0,1
Chad,Africa,2005,48.5,1.5,92.4,166.9,404.29,676,0,1
Malawi,Africa,2002,45.5,3.2,84.6,145.5,591.4675,271,0,1
Sierra Leone,Africa,2012,51.0,3.2,100.7,147.3,410.143,627,0,1
Mali,Africa,2005,52.1,1.7,88.1,156.4,302.4025,688,0,1
Bangladesh,Asia,2007,68.6,4.7,44.8,57.8,147.641,856,0,1
Latvia,European Union,2015,74.5,12.8,4.3,5.0,160.237,13786,1,0
Angola,Africa,2002,47.7,4.4,114.5,191.5,350.8275,2031,0,1
Jamaica,Central America and Caribbean,2003,74.1,7.8,17.6,20.7,162.465,5083,0,1
Zambia,Africa,2005,48.5,6.3,61.9,106.2,521.085,918,0,1
Kyrgyz Republic,Asia,2002,68.2,10.0,38.8,45.2,223.718,742,0,1
Zimbabwe,Africa,2000,44.6,6.5,51.9,95.5,687.993,1697,0,1
China,Asia,2003,72.4,6.7,23.4,28.8,105.496,2797,0,1
Nepal,Asia,2015,69.5,4.7,29.2,35.5,154.604,902,0,1
Chad,Africa,2004,48.3,1.4,93.9,170.4,407.207,598,0,1
Afghanistan,Asia,2014,63.0,3.5,55.2,73.6,231.978,565,0,1
Cuba,Central America and Caribbean,2001,76.9,9.7,6.8,8.5,109.7575,4222,0,1
Tanzania,Africa,2014,62.3,5.6,41.9,59.9,255.4665,920,0,1
Ecuador,South America,2013,75.7,8.3,14.3,16.6,127.577,6084,0,1
Djibouti,Africa,2011,60.7,4.0,60.9,74.4,265.328,1452,0,1
Slovenia,European Union,2003,76.9,11.5,3.9,4.7,117.617,17803,1,0
Grenada,Central America and Caribbean,2004,73.1,7.7,12.5,14.7,168.877,7578,0,1
"Congo, Dem. Rep.",Africa,2015,59.3,6.4,73.0,95.9,260.0235,497,0,1
Cuba,Central America and Caribbean,2002,77.1,9.5,6.5,8.2,108.1925,4269,0,1
Maldives,Asia,2013,77.0,5.7,9.7,11.3,72.3455,8955,0,1
Cote d'Ivoire,Africa,2004,49.8,3.6,87.5,129.5,453.5475,1583,0,1
Nigeria,Africa,2001,46.5,5.2,106.8,177.3,408.9835,1499,0,1
Nicaragua,Central America and Caribbean,2008,71.9,5.8,22.0,26.1,166.1845,1709,0,1
Grenada,Central America and Caribbean,2006,73.1,7.9,12.5,14.6,163.5385,8195,0,1
Iraq,Middle East,2007,68.1,6.1,31.1,38.1,187.6105,3627,0,1
Myanmar,Asia,2007,62.3,3.8,54.1,71.8,219.9305,682,0,1
Panama,Central America and Caribbean,2007,76.2,9.2,18.5,21.7,125.1955,9169,0,1
Bahrain,Middle East,2011,76.2,8.6,7.0,8.2,70.3255,20774,0,1
Djibouti,Africa,2001,57.1,3.3,78.2,98.6,321.3015,781,0,1
Japan,Asia,2004,82.0,11.1,2.8,3.9,68.9285,32515,1,0
Namibia,Africa,2004,50.6,5.9,42.7,74.4,496.836,3647,0,1
Cabo Verde,Africa,2001,69.1,3.7,28.4,34.4,149.3995,1983,0,1
Uganda,Africa,2003,49.4,4.3,74.7,123.5,485.3535,573,0,1
Kazakhstan,Asia,2007,66.3,11.6,23.8,26.8,267.527,8438,0,1
St. Lucia,Central America and Caribbean,2012,75.1,8.4,18.1,20.4,141.425,10531,0,1
Cabo Verde,Africa,2000,68.6,3.5,31.1,38.1,157.104,1974,0,1
Germany,European Union,2008,79.7,13.7,3.6,4.4,79.5175,38278,1,0
Belarus,Rest of Europe,2015,73.6,12.2,3.1,4.1,163.872,5967,0,1
Honduras,Central America and Caribbean,2010,73.3,5.4,19.8,23.3,153.912,2121,0,1
Senegal,Africa,2005,60.6,2.4,53.2,91.8,237.7735,1134,0,1
Cameroon,Africa,2007,53.7,5.2,74.6,121.0,371.415,1249,0,1
Philippines,Asia,2012,70.1,9.1,24.2,30.9,204.619,2611,0,1
Maldives,Asia,2009,75.5,4.7,12.8,14.9,77.1955,8222,0,1
Nicaragua,Central America and Caribbean,2006,71.4,5.6,23.9,28.5,173.308,1616,0,1
Mongolia,Asia,2003,64.2,8.4,38.9,49.1,260.269,1784,0,1
Iraq,Middle East,2001,69.0,5.2,34.9,43.5,165.8675,4284,0,1
Haiti,Central America and Caribbean,2011,60.9,4.8,57.6,77.4,257.386,1343,0,1
Uruguay,South America,2013,77.1,8.5,8.3,9.7,107.92,15168,0,1
Azerbaijan,Asia,2007,69.8,10.2,39.1,45.5,141.6765,4327,0,1
Pakistan,Asia,2002,63.3,3.8,80.9,102.4,185.0715,1040,0,1
Singapore,Asia,2000,78.0,8.9,3.0,3.9,80.151,34891,0,1
Angola,Africa,2015,59.4,5.0,57.7,88.1,242.9655,3128,0,1
Azerbaijan,Asia,2004,68.2,10.6,47.0,55.6,155.0385,2078,0,1
Solomon Islands,Oceania,2014,71.9,5.3,19.9,23.4,151.628,2195,0,1
Ukraine,Rest of Europe,2015,71.2,11.3,8.1,9.5,202.8,2125,0,1
Senegal,Africa,2006,61.4,2.4,50.6,85.2,233.387,1130,0,1
Bhutan,Asia,2012,69.3,2.5,31.0,38.0,220.149,2479,0,1
Azerbaijan,Asia,2012,71.5,10.7,28.5,32.5,132.0885,5195,0,1
Serbia,Rest of Europe,2003,72.4,9.9,9.1,10.5,147.6935,3808,0,1
Niger,Africa,2009,56.6,1.4,64.8,130.3,270.291,424,0,1
Haiti,Central America and Caribbean,2010,60.5,4.7,102.6,203.6,262.206,1297,0,1
Slovak Republic,European Union,2006,74.2,10.9,6.6,7.9,136.22,12396,1,0
"Bahamas, The",Central America and Caribbean,2007,72.0,10.9,14.1,16.5,174.6025,35697,0,1
Finland,European Union,2005,78.8,12.0,3.1,3.7,99.9665,42531,1,0
Denmark,European Union,2004,77.5,12.8,4.3,5.2,95.0035,50792,1,0
Tunisia,Africa,2010,75.0,6.7,15.8,18.4,98.3545,3955,0,1
Thailand,Asia,2007,72.9,7.1,13.4,15.6,168.9115,4827,0,1
France,European Union,2009,81.4,10.8,3.1,4.3,86.8955,35131,1,0
Samoa,Oceania,2013,72.4,10.3,16.2,18.9,117.105,3961,0,1
Nepal,Asia,2005,65.3,2.8,45.9,59.4,203.6355,616,0,1
Panama,Central America and Caribbean,2013,77.4,9.7,15.5,18.1,117.765,12695,0,1
Ireland,European Union,2011,80.7,10.9,3.5,4.1,68.994,46221,1,0
"Yemen, Rep.",Middle East,2001,61.2,1.3,65.8,90.3,251.422,2404,0,1
Germany,European Union,2007,79.5,13.7,3.7,4.5,80.746,37842,1,0
Tajikistan,Asia,2010,68.7,10.9,36.9,42.7,143.711,783,0,1
Nicaragua,Central America and Caribbean,2005,71.2,5.5,24.9,29.9,177.622,1573,0,1
Costa Rica,Central America and Caribbean,2015,79.6,8.8,7.7,9.1,85.6715,11643,0,1
Chad,Africa,2002,47.9,1.4,96.8,177.1,413.041,421,0,1
Libya,Africa,2011,72.0,7.3,14.9,19.4,136.8525,6670,0,1
Norway,Rest of Europe,2004,79.8,12.7,3.4,4.2,74.4275,71655,1,0
France,European Union,2011,82.1,10.9,3.1,4.2,82.572,36246,1,0
Honduras,Central America and Caribbean,2007,72.5,5.0,22.4,26.7,158.902,2141,0,1
Iraq,Middle East,2006,68.2,5.9,31.8,39.1,183.716,3620,0,1
St. Lucia,Central America and Caribbean,2008,74.6,7.8,16.6,19.0,148.7125,10528,0,1
Paraguay,South America,2009,72.5,7.0,22.6,26.9,153.271,4350,0,1
Sweden,European Union,2009,81.4,12.2,2.6,3.1,60.608,46043,1,0
Bulgaria,European Union,2002,71.9,10.0,13.2,15.9,156.0455,4260,1,0
Slovenia,European Union,2004,77.2,12.0,3.7,4.4,111.937,18568,1,0
Montenegro,Rest of Europe,2011,76.0,11.1,5.1,6.1,110.706,6169,0,1
Madagascar,Africa,2006,61.7,5.7,53.9,81.3,261.1205,482,0,1
Zimbabwe,Africa,2011,52.9,7.3,50.8,80.8,466.265,1249,0,1
Romania,European Union,2011,74.4,10.8,10.0,11.8,139.7255,7810,1,0
Senegal,Africa,2013,65.9,2.8,37.6,55.4,197.0095,1141,0,1
Netherlands,European Union,2005,79.3,11.6,4.4,5.3,72.132,42202,1,0
Romania,European Union,2002,71.0,9.6,17.0,20.1,171.852,5225,1,0
Estonia,European Union,2005,72.6,12.1,5.7,7.2,186.7535,14631,1,0
Liberia,Africa,2000,51.7,3.5,127.9,189.7,316.589,776,0,1
Ethiopia,Africa,2012,63.3,2.4,49.5,73.5,239.3415,518,0,1
Brunei Darussalam,Asia,2008,74.5,8.7,7.7,9.5,91.9455,33981,0,1
Benin,Africa,2008,58.7,2.8,72.2,113.7,259.34,1001,0,1
Germany,European Union,2011,80.4,13.9,3.4,4.1,75.779,39977,1,0
Latvia,European Union,2012,73.8,12.6,5.6,6.6,165.2735,12410,1,0
"Congo, Dem. Rep.",Africa,2005,53.7,4.3,95.2,136.1,311.914,364,0,1
Israel,Middle East,2015,82.1,13.0,3.2,3.9,56.337,35808,1,0
Seychelles,Africa,2002,71.1,7.6,11.8,13.7,175.73,10714,0,1
"Yemen, Rep.",Middle East,2005,63.5,1.9,54.8,73.0,246.5985,2536,0,1
New Zealand,Oceania,2015,81.5,12.4,4.6,5.5,67.0,38631,1,0
Comoros,Africa,2003,59.7,3.0,71.7,99.6,267.1495,1183,0,1
New Zealand,Oceania,2012,81.2,12.1,4.9,5.9,67.5135,36521,1,0
Croatia,European Union,2009,76.2,10.6,4.9,5.7,103.109,11871,1,0
Turkiye,Middle East,2004,72.0,5.9,23.6,28.2,131.274,7195,0,1
Nepal,Asia,2011,68.0,3.3,35.0,43.6,172.406,754,0,1
Azerbaijan,Asia,2001,67.1,10.6,57.2,69.3,166.736,1615,0,1
France,European Union,2000,79.1,9.8,4.1,5.4,99.7875,33597,1,0
Germany,European Union,2014,81.1,14.0,3.3,4.0,70.358,40851,1,0
Croatia,European Union,2003,74.6,9.8,6.3,7.3,117.911,10510,1,0
Kyrgyz Republic,Asia,2006,67.7,10.2,32.7,37.5,221.7345,837,0,1
Vanuatu,Oceania,2006,68.5,6.5,23.8,28.4,157.5085,2776,0,1
Tonga,Oceania,2014,70.4,11.1,10.8,12.5,135.663,4276,0,1
Sweden,European Union,2013,82.0,12.2,2.4,2.9,55.5025,49049,1,0
Mauritania,Africa,2001,60.8,3.0,68.9,112.1,228.7,1252,0,1
Nicaragua,Central America and Caribbean,2010,72.4,6.0,20.3,23.9,160.5665,1679,0,1
Tanzania,Africa,2008,56.8,5.0,51.0,79.6,345.9945,765,0,1
Latvia,European Union,2007,71.0,12.3,7.7,9.3,220.941,13186,1,0
"Congo, Rep.",Africa,2004,54.7,5.8,60.7,93.3,390.9155,2080,0,1
Seychelles,Africa,2006,72.2,7.8,11.9,13.8,162.877,11562,0,1
Rwanda,Africa,2007,58.9,3.1,54.4,84.4,285.3095,512,0,1
Bosnia and Herzegovina,Rest of Europe,2001,74.6,7.1,8.4,9.6,118.2535,2913,0,1
Italy,European Union,2009,81.6,9.6,3.4,4.1,59.186,31615,1,0
Sao Tome and Principe,Central America and Caribbean,2013,68.7,5.2,22.0,27.7,194.199,1486,0,1
India,Asia,2010,66.7,5.4,45.1,58.2,191.5935,1244,0,1
Guinea-Bissau,Africa,2003,51.5,2.3,95.9,156.8,302.471,550,0,1
Guatemala,Central America and Caribbean,2012,72.2,4.6,26.5,32.0,170.1225,3732,0,1
Cyprus,European Union,2006,78.8,10.9,3.6,4.2,62.643,26394,1,0
Germany,European Union,2009,79.8,13.8,3.5,4.3,78.907,36190,1,0
Chad,Africa,2015,53.1,2.3,75.7,128.7,363.167,776,0,1
"Venezuela, RB",South America,2008,73.1,8.2,14.7,17.2,150.294,11433,0,1
Ireland,European Union,2013,80.9,11.8,3.3,3.9,64.5655,46339,1,0
Solomon Islands,Oceania,2015,72.2,5.4,19.3,22.7,148.087,2167,0,1
Argentina,South America,2002,73.9,9.2,16.4,18.3,136.066,8943,0,1
Spain,European Union,2006,80.8,9.0,3.7,4.5,73.3,26763,1,0
Gabon,Africa,2011,62.2,7.7,40.4,59.3,266.645,7086,0,1
Montenegro,Rest of Europe,2014,76.4,11.3,3.7,4.4,102.857,6307,0,1
Serbia,Rest of Europe,2013,75.2,10.4,5.9,6.9,119.055,5525,0,1
Portugal,European Union,2013,80.7,8.6,3.0,3.7,78.8295,18585,1,0
Somalia,Africa,2000,50.9,2.1,104.4,172.7,355.929,174,0,1
"Gambia, The",Africa,2006,58.3,2.5,51.5,87.6,285.0805,686,0,1
Niger,Africa,2012,58.8,1.6,57.0,108.2,261.2055,464,0,1
Cambodia,Asia,2007,64.7,3.7,46.2,55.4,206.6325,825,0,1
Kiribati,Oceania,2006,64.7,7.4,49.7,65.1,212.398,1497,0,1
Equatorial Guinea,Africa,2003,54.1,5.4,99.0,142.8,332.349,8745,0,1
Israel,Middle East,2009,81.4,12.6,3.8,4.7,61.931,31323,1,0
Kuwait,Middle East,2002,73.3,6.1,10.3,12.0,87.276,29591,0,1
St. Vincent and the Grenadines,Central America and Caribbean,2004,71.2,7.8,19.0,21.6,176.2405,6313,0,1
Zambia,Africa,2001,44.6,6.0,85.3,146.9,598.586,794,0,1
St. Vincent and the Grenadines,Central America and Caribbean,2009,71.7,8.2,18.2,20.4,163.6655,7098,0,1
Dominican Republic,Central America and Caribbean,2013,72.8,7.6,28.8,35.0,164.4115,6187,0,1
Jamaica,Central America and Caribbean,2014,74.0,9.6,13.8,16.0,133.3495,4890,0,1
"Iran, Islamic Rep.",Middle East,2008,73.0,8.6,18.5,21.7,121.2965,5260,0,1
Eritrea,Africa,2005,58.7,3.7,46.1,67.5,336.291,762,0,1
Lao PDR,Asia,2010,64.3,4.6,51.8,68.3,217.0295,1586,0,1
Netherlands,European Union,2001,78.2,11.0,5.0,6.1,81.98,41087,1,0
Bangladesh,Asia,2011,70.3,5.1,37.2,46.7,139.3125,1024,0,1
Mexico,North America,2002,74.9,7.0,21.9,26.0,126.16,8581,0,1
"Iran, Islamic Rep.",Middle East,2000,70.2,6.2,29.7,36.2,151.603,3923,0,1
Iraq,Middle East,2015,69.9,6.6,24.8,29.7,162.9175,4688,0,1
Lebanon,Middle East,2007,77.6,7.8,10.4,12.1,73.269,7295,0,1
